Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;26/10/05;Barcelona;Malaga;2;0;H;0;0;D;36;4;20;1;6;24;12;2;0;5;0;0;1.25;5.0;13.0;1.24;4.97;10.14;1.58;2.2;1.84;2.0
SP1;26/10/05;Betis;Villarreal;2;3;A;1;1;D;10;4;4;4;10;8;2;2;4;4;1;0;2.25;3.2;3.1;2.21;3.12;2.97;2.03;1.69;2.07;1.81
SP1;26/10/05;La Coruna;Real Madrid;3;1;H;2;0;H;21;7;5;4;21;20;5;3;3;3;0;0;2.87;3.25;2.37;2.78;3.14;2.34;1.88;1.83;1.94;1.9
SP1;26/10/05;Mallorca;Celta;1;0;H;0;0;D;15;8;5;2;23;22;5;4;3;1;0;1;2.5;3.2;2.75;2.5;3.13;2.58;1.95;1.77;1.8;2.04
SP1;26/10/05;Osasuna;Ath Bilbao;3;2;H;1;1;D;11;16;7;2;21;19;2;2;4;1;0;0;1.9;3.25;4.0;1.85;3.23;3.91;2.05;1.68;2.02;1.82
SP1;27/10/05;Alaves;Espanol;1;1;D;1;1;D;12;12;9;6;19;12;10;10;3;3;1;0;2.3;3.25;3.0;2.29;3.15;2.82;2.05;1.66;2.09;1.78
SP1;27/10/05;Ath Madrid;Cadiz;3;0;H;1;0;H;20;7;10;2;21;13;9;5;3;2;0;0;1.72;3.4;5.0;1.65;3.35;4.87;2.07;1.65;1.91;1.94
SP1;27/10/05;Sociedad;Getafe;3;0;H;3;0;H;11;18;5;8;18;21;6;10;0;2;0;0;2.1;3.25;3.4;2.09;3.16;3.19;1.97;1.75;1.92;1.94
SP1;27/10/05;Valencia;Sevilla;0;2;A;0;1;A;24;4;6;2;16;16;10;2;1;0;0;0;1.66;3.4;5.5;1.69;3.28;4.73;2.0;1.72;2.06;1.82
SP1;27/10/05;Zaragoza;Santander;1;1;D;1;0;H;14;6;3;1;18;25;5;3;2;6;0;0;1.83;3.3;4.33;1.82;3.16;4.06;2.08;1.64;1.88;1.97
