Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BbAvH,BbAvD,BbAvA,BbAv>2.5,BbAv<2.5,BbAvAHH,BbAvAHA,temp_max,lluvia_mm,viento_kmh
SP1,28/11/1993,Ath Bilbao,Oviedo,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.2,19.1
SP1,28/11/1993,Ath Madrid,La Coruna,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,4.0,9.7
SP1,28/11/1993,Celta,Sevilla,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,29.7,37.1
SP1,28/11/1993,Lerida,Zaragoza,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,0.0,11.7
SP1,28/11/1993,Logrones,Albacete,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.6,9.4
SP1,28/11/1993,Santander,Valladolid,5,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,4.6,14.2
SP1,28/11/1993,Sp Gijon,Real Madrid,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,9.4,16.1
SP1,28/11/1993,Tenerife,Osasuna,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,20.6
SP1,28/11/1993,Valencia,Sociedad,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,0.0,16.2
SP1,28/11/1993,Vallecano,Barcelona,2,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,4.3,9.7
SP1,05/12/1993,Albacete,Valencia,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0,10.9
SP1,05/12/1993,Barcelona,Logrones,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,0.0,10.0
SP1,05/12/1993,La Coruna,Santander,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,9.4,14.3
SP1,05/12/1993,Osasuna,Lerida,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,0.0,11.2
SP1,05/12/1993,Oviedo,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,2.9,4.6
SP1,05/12/1993,Real Madrid,Ath Bilbao,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,7.6
SP1,05/12/1993,Sevilla,Sp Gijon,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,0.1,8.6
SP1,05/12/1993,Sociedad,Celta,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,1.5,11.1
SP1,05/12/1993,Valladolid,Tenerife,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,0.1,6.9
SP1,05/12/1993,Zaragoza,Vallecano,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,0.0,15.9
SP1,12/12/1993,Ath Bilbao,Ath Madrid,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,0.0,12.1
SP1,12/12/1993,Celta,Albacete,1,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,0.0,7.6
SP1,12/12/1993,Lerida,Valladolid,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,0.0,14.4
SP1,12/12/1993,Logrones,Zaragoza,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,0.0,8.6
SP1,12/12/1993,Real Madrid,Sevilla,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,0.0,6.8
SP1,12/12/1993,Santander,Oviedo,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,0.0,11.9
SP1,12/12/1993,Sp Gijon,Sociedad,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,8.4
SP1,12/12/1993,Tenerife,La Coruna,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,0.0,25.2
SP1,12/12/1993,Valencia,Barcelona,0,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,11.1
SP1,12/12/1993,Vallecano,Osasuna,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,6.8
SP1,19/12/1993,Albacete,Sp Gijon,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,0.0,12.0
SP1,19/12/1993,Ath Madrid,Santander,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,0.0,5.0
